# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[Move,SING]
    SetX = 23,-118
    SetY = 23,113
    SetFrame = 24,10
    SetX = 24,-32
    SetY = 24,72
    SetFrame = 25,11
    SetX = 25,-12
    SetY = 25,22
    SetFrame = 26,10
    SetX = 26,36
    SetY = 26,15
    SetFrame = 27,11
    SetX = 27,-68
    SetY = 27,85
    SetX = 28,-37
    SetY = 28,73
    SetFrame = 29,9
    SetX = 29,-8
    SetY = 29,42
    SetFrame = 30,10
    SetX = 30,19
    SetY = 30,31
    SetX = 31,-44
    SetY = 31,98
    SetX = 32,-37
    SetY = 32,81
    SetFrame = 33,11
    SetX = 33,-162
    SetY = 33,139
    SetFrame = 34,10
    SetX = 34,13
    SetY = 34,87
    SetFrame = 35,9
    SetX = 35,-43
    SetY = 35,84
    SetFrame = 36,10
    SetX = 36,-50
    SetY = 36,88
    SetX = 37,-1
    SetY = 37,41
    SetFrame = 38,8
    SetX = 38,-29
    SetY = 38,49
    SetFrame = 39,9
    SetX = 39,26
    SetY = 39,11
    SetFrame = 40,11
    SetX = 40,19
    SetY = 40,22
    SetFrame = 41,9
    SetX = 41,33
    SetY = 41,-33
    SetX = 42,23
    SetY = 42,-41
    SetFrame = 43,10
    SetX = 43,10
    SetY = 43,-19
    SetFrame = 44,9
    SetX = 44,-20
    SetY = 44,-46
    SetX = 45,12
    SetY = 45,-45
    SetFrame = 46,10
    SetX = 46,31
    SetY = 46,-53
    SetFrame = 47,9
    SetX = 47,53
    SetY = 47,-47
    SetX = 48,52
    SetY = 48,-52
    SetX = 49,53
    SetY = 49,-91
    SetFrame = 50,10
    SetX = 50,40
    SetY = 50,-76
    SetVisible = 51,false
<Particle 6>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 8,7
    SetX = 8,-162
    SetY = 8,102
    SetZ = 8,30
    SetFrame = 9,9
    SetX = 9,-33
    SetY = 9,34
    SetX = 10,-127
    SetY = 10,96
    SetX = 11,-29
    SetY = 11,11
    SetFrame = 12,10
    SetX = 12,10
    SetY = 12,17
    SetFrame = 13,9
    SetX = 13,35
    SetY = 13,-6
    SetFrame = 14,11
    SetX = 14,46
    SetY = 14,0
    SetX = 15,-53
    SetY = 15,68
    SetFrame = 16,8
    SetX = 16,-11
    SetY = 16,56
    SetFrame = 17,11
    SetX = 17,-31
    SetY = 17,46
    SetFrame = 18,10
    SetX = 18,61
    SetY = 18,-1
    SetX = 19,-153
    SetY = 19,140
    SetX = 20,-21
    SetY = 20,66
    SetFrame = 21,9
    SetX = 21,16
    SetY = 21,22
    SetFrame = 22,11
    SetX = 22,-60
    SetY = 22,90
    SetFrame = 23,9
    SetX = 23,-6
    SetY = 23,45
    SetX = 24,-27
    SetY = 24,77
    SetX = 25,-1
    SetY = 25,39
    SetFrame = 26,10
    SetX = 26,42
    SetY = 26,20
    SetFrame = 27,11
    SetX = 27,35
    SetY = 27,-2
    SetFrame = 28,9
    SetX = 28,-40
    SetY = 28,67
    SetFrame = 29,10
    SetX = 29,-6
    SetY = 29,52
    SetFrame = 30,9
    SetX = 30,41
    SetY = 30,17
    SetFrame = 31,11
    SetX = 31,-72
    SetY = 31,86
    SetFrame = 32,9
    SetX = 32,-14
    SetY = 32,69
    SetX = 33,-131
    SetY = 33,130
    SetX = 34,6
    SetY = 34,52
    SetFrame = 35,10
    SetX = 35,55
    SetY = 35,17
    SetFrame = 36,11
    SetX = 36,-36
    SetY = 36,58
    SetFrame = 37,9
    SetX = 37,21
    SetY = 37,25
    SetFrame = 38,10
    SetX = 38,48
    SetY = 38,17
    SetVisible = 39,false
<Particle 7>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 13,8
    SetX = 13,-102
    SetY = 13,93
    SetZ = 13,31
    SetX = 14,-158
    SetY = 14,142
    SetFrame = 15,9
    SetX = 15,64
    SetY = 15,-18
    SetFrame = 16,10
    SetX = 16,-28
    SetY = 16,52
    SetFrame = 17,8
    SetX = 17,0
    SetY = 17,54
    SetFrame = 18,9
    SetX = 18,58
    SetY = 18,-13
    SetX = 19,43
    SetY = 19,-24
    SetFrame = 20,8
    SetX = 20,-39
    SetY = 20,56
    SetFrame = 21,11
    SetX = 21,-16
    SetY = 21,23
    SetFrame = 22,10
    SetX = 22,32
    SetY = 22,17
    SetX = 23,-28
    SetY = 23,59
    SetFrame = 24,11
    SetX = 24,-163
    SetY = 24,138
    SetX = 25,-32
    SetY = 25,38
    SetX = 26,19
    SetY = 26,-10
    SetFrame = 27,8
    SetX = 27,32
    SetY = 27,13
    SetFrame = 28,10
    SetX = 28,39
    SetY = 28,20
    SetFrame = 29,8
    SetX = 29,8
    SetY = 29,57
    SetX = 30,-153
    SetY = 30,144
    SetFrame = 31,10
    SetX = 31,10
    SetY = 31,37
    SetFrame = 32,11
    SetX = 32,-39
    SetY = 32,49
    SetFrame = 33,10
    SetX = 33,3
    SetY = 33,50
    SetX = 34,37
    SetY = 34,18
    SetFrame = 35,11
    SetX = 35,24
    SetY = 35,2
    SetFrame = 36,10
    SetX = 36,39
    SetY = 36,23
    SetFrame = 37,11
    SetX = 37,-5
    SetY = 37,8
    SetFrame = 38,9
    SetX = 38,38
    SetY = 38,-6
    SetVisible = 39,false
<Particle 8>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 15,8
    SetX = 15,45
    SetY = 15,-5
    SetZ = 15,32
    SetX = 16,-32
    SetY = 16,61
    SetVisible = 17,false
<Particle 9>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 15,9
    SetX = 15,53
    SetY = 15,-11
    SetZ = 15,33
    SetFrame = 16,11
    SetX = 16,32
    SetY = 16,-12
    SetVisible = 17,false
<Particle 10>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 16,8
    SetX = 16,33
    SetY = 16,-7
    SetZ = 16,34
    SetVisible = 17,false
<Particle 11>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 16,10
    SetX = 16,33
    SetY = 16,-3
    SetZ = 16,35
    SetVisible = 17,false
<Particle 12>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 18,8
    SetX = 18,42
    SetY = 18,3
    SetZ = 18,32
    SetX = 19,41
    SetY = 19,-1
    SetFrame = 20,11
    SetX = 20,28
    SetY = 20,-3
    SetFrame = 21,10
    SetX = 21,7
    SetY = 21,26
    SetX = 22,40
    SetY = 22,9
    SetVisible = 23,false
<Particle 13>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 24,9
    SetX = 24,-129
    SetY = 24,128
    SetZ = 24,32
    SetVisible = 25,false
<Particle 14>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 25,10
    SetX = 25,29
    SetY = 25,2
    SetZ = 25,33
    SetVisible = 26,false
<Particle 15>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 27,9
    SetX = 27,-152
    SetY = 27,130
    SetZ = 27,32
    SetX = 28,37
    SetY = 28,-8
    SetVisible = 29,false
<Particle 16>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 27,11
    SetX = 27,-175
    SetY = 27,121
    SetZ = 27,33
    SetVisible = 28,false
<Particle 17>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 31,9
    SetX = 31,18
    SetY = 31,34
    SetZ = 31,32
    SetFrame = 32,10
    SetX = 32,39
    SetY = 32,28
    SetFrame = 33,11
    SetX = 33,6
    SetY = 33,43
    SetFrame = 34,9
    SetX = 34,63
    SetY = 34,0
    SetX = 35,49
    SetY = 35,16
    SetVisible = 36,false
<Particle 18>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 31,11
    SetX = 31,16
    SetY = 31,29
    SetZ = 31,33
    SetVisible = 32,false
<SE>
    Play = 0,Sing,80
#-------------------------------
[OppMove,SING]
Name = Example anim
<User>
    SetX = 0,0
    SetY = 0,0
<Target>
    SetX = 0,0
    SetY = 0,0
<Particle 2>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 0,7
    SetX = 0,-20
    SetY = 0,-4
    SetZ = 0,27
    SetFrame = 1,9
    SetX = 1,-15
    SetY = 1,21
    SetFrame = 2,8
    SetX = 2,-26
    SetY = 2,58
    SetFrame = 3,10
    SetX = 3,-52
    SetY = 3,86
    SetX = 4,-2
    SetY = 4,10
    SetFrame = 5,11
    SetX = 5,-19
    SetY = 5,0
    SetX = 6,-172
    SetY = 6,150
    SetFrame = 7,8
    SetX = 7,-28
    SetY = 7,76
    SetFrame = 8,10
    SetX = 8,-64
    SetY = 8,96
    SetFrame = 9,9
    SetX = 9,-86
    SetY = 9,105
    SetFrame = 10,10
    SetX = 10,-119
    SetY = 10,143
    SetX = 11,-153
    SetY = 11,159
    SetFrame = 12,11
    SetX = 12,-102
    SetY = 12,100
    SetFrame = 13,8
    SetX = 13,-129
    SetY = 13,157
    SetFrame = 14,9
    SetX = 14,-36
    SetY = 14,79
    SetFrame = 15,11
    SetX = 15,-81
    SetY = 15,117
    SetX = 16,0
    SetY = 16,14
    SetFrame = 17,10
    SetX = 17,-29
    SetY = 17,71
    SetFrame = 18,11
    SetX = 18,-68
    SetY = 18,104
    SetX = 19,-95
    SetY = 19,127
    SetFrame = 20,9
    SetX = 20,-140
    SetY = 20,143
    SetFrame = 21,11
    SetX = 21,-71
    SetY = 21,103
    SetFrame = 22,10
    SetX = 22,-103
    SetY = 22,152
    SetFrame = 23,9
    SetX = 23,-146
    SetY = 23,146
    SetX = 24,-43
    SetY = 24,98
    SetX = 25,-88
    SetY = 25,129
    SetFrame = 26,11
    SetX = 26,-15
    SetY = 26,20
    SetX = 27,-58
    SetY = 27,75
    SetX = 28,-198
    SetY = 28,144
    SetX = 29,-228
    SetY = 29,145
    SetFrame = 30,10
    SetX = 30,-234
    SetX = 31,-204
    SetY = 31,118
    SetX = 32,-201
    SetFrame = 33,11
    SetX = 33,-191
    SetY = 33,75
    SetFrame = 34,10
    SetX = 34,-223
    SetY = 34,139
    SetX = 35,-194
    SetY = 35,99
    SetFrame = 36,11
    SetX = 36,-220
    SetY = 36,80
    SetFrame = 37,10
    SetX = 37,-217
    SetY = 37,79
    SetX = 38,-225
    SetY = 38,47
    SetX = 39,-182
    SetY = 39,12
    SetOpacity = 39,243
    SetFrame = 40,11
    SetX = 40,-201
    SetY = 40,23
    SetOpacity = 40,255
<Particle 3>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 0,8
    SetX = 0,-19
    SetY = 0,29
    SetZ = 0,28
    SetFrame = 1,10
    SetX = 1,-34
    SetY = 1,50
    SetFrame = 2,9
    SetX = 2,-28
    SetY = 2,47
    SetFrame = 3,11
    SetX = 3,-80
    SetY = 3,81
    SetX = 4,-90
    SetY = 4,107
    SetFrame = 5,10
    SetX = 5,-1
    SetY = 5,29
    SetFrame = 6,9
    SetX = 6,-156
    SetY = 6,136
    SetX = 7,-9
    SetY = 7,70
    SetX = 8,-40
    SetY = 8,92
    SetFrame = 9,8
    SetX = 9,-102
    SetY = 9,109
    SetFrame = 10,9
    SetX = 10,-97
    SetY = 10,129
    SetFrame = 11,8
    SetX = 11,-142
    SetY = 11,148
    SetFrame = 12,10
    SetX = 12,-70
    SetY = 12,111
    SetX = 13,-144
    SetY = 13,148
    SetFrame = 14,11
    SetX = 14,-42
    SetY = 14,85
    SetFrame = 15,10
    SetX = 15,-52
    SetY = 15,125
    SetX = 16,-7
    SetY = 16,30
    SetFrame = 17,11
    SetX = 17,-24
    SetY = 17,58
    SetFrame = 18,10
    SetX = 18,-75
    SetY = 18,115
    SetX = 19,-100
    SetY = 19,140
    SetX = 20,-132
    SetY = 20,160
    SetFrame = 21,9
    SetX = 21,-39
    SetY = 21,107
    SetX = 22,-84
    SetY = 22,144
    SetFrame = 23,10
    SetX = 23,-153
    SetY = 23,149
    SetX = 24,-34
    SetY = 24,120
    SetX = 25,-78
    SetY = 25,146
    SetX = 26,-23
    SetY = 26,47
    SetFrame = 27,9
    SetX = 27,-51
    SetY = 27,75
    SetFrame = 28,10
    SetX = 28,-201
    SetY = 28,162
    SetFrame = 29,9
    SetX = 29,-221
    SetY = 29,143
    SetX = 30,-208
    SetY = 30,127
    SetX = 31,-211
    SetY = 31,108
    SetFrame = 32,11
    SetX = 32,-225
    SetY = 32,90
    SetFrame = 33,10
    SetX = 33,-202
    SetY = 33,95
    SetFrame = 34,9
    SetX = 34,-231
    SetY = 34,125
    SetX = 35,-203
    SetY = 35,67
    SetFrame = 36,10
    SetX = 36,-191
    SetY = 36,101
    SetFrame = 37,9
    SetX = 37,-193
    SetY = 37,67
    SetFrame = 38,8
    SetX = 38,-212
    SetY = 38,65
    SetX = 39,-180
    SetY = 39,67
    SetX = 40,-201
    SetY = 40,4
<Particle 4>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 4,9
    SetX = 4,-84
    SetY = 4,104
    SetZ = 4,29
    SetFrame = 5,8
    SetX = 5,-122
    SetY = 5,137
    SetFrame = 6,10
    SetX = 6,-15
    SetY = 6,33
    SetFrame = 7,11
    SetX = 7,-50
    SetY = 7,66
    SetX = 8,-68
    SetY = 8,70
    SetFrame = 9,10
    SetX = 9,-79
    SetY = 9,111
    SetFrame = 10,8
    SetX = 10,-121
    SetY = 10,119
    SetFrame = 11,11
    SetX = 11,-170
    SetY = 11,131
    SetFrame = 12,8
    SetX = 12,-56
    SetY = 12,115
    SetFrame = 13,11
    SetX = 13,-141
    SetY = 13,126
    SetX = 14,-65
    SetY = 14,78
    SetFrame = 15,9
    SetX = 15,-46
    SetY = 15,123
    SetFrame = 16,10
    SetX = 16,-97
    SetY = 16,161
    SetFrame = 17,9
    SetX = 17,-132
    SetY = 17,144
    SetX = 18,-43
    SetY = 18,120
    SetX = 19,4
    SetY = 19,22
    SetX = 20,-19
    SetY = 20,57
    SetFrame = 21,8
    SetX = 21,-162
    SetY = 21,163
    SetX = 22,-116
    SetY = 22,143
    SetFrame = 23,11
    SetX = 23,-150
    SetY = 23,146
    SetFrame = 24,10
    SetX = 24,-68
    SetY = 24,116
    SetFrame = 25,8
    SetX = 25,-79
    SetY = 25,138
    SetFrame = 26,11
    SetX = 26,-145
    SetY = 26,150
    SetFrame = 27,10
    SetX = 27,-38
    SetY = 27,105
    SetFrame = 28,9
    SetX = 28,-172
    SetY = 28,152
    SetFrame = 29,8
    SetX = 29,-203
    SetY = 29,157
    SetX = 30,-217
    SetY = 30,151
    SetX = 31,-188
    SetY = 31,126
    SetX = 32,-204
    SetY = 32,175
    SetFrame = 33,9
    SetX = 33,-195
    SetY = 33,96
    SetFrame = 34,11
    SetX = 34,-215
    SetY = 34,112
    SetFrame = 35,10
    SetX = 35,-186
    SetY = 35,73
    SetFrame = 36,9
    SetX = 36,-187
    SetY = 36,67
    SetFrame = 37,11
    SetX = 37,-229
    SetY = 37,77
    SetFrame = 38,10
    SetX = 38,-195
    SetY = 38,59
    SetX = 39,-206
    SetY = 39,46
    SetX = 40,-215
    SetY = 40,43
<Particle 5>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 4,10
    SetX = 4,-79
    SetY = 4,131
    SetZ = 4,30
    SetX = 5,-109
    SetY = 5,145
    SetFrame = 6,11
    SetX = 6,-14
    SetY = 6,25
    SetVisible = 7,false
<Particle 6>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 9,11
    SetX = 9,-3
    SetY = 9,17
    SetZ = 9,30
    SetX = 10,-6
    SetY = 10,29
    SetFrame = 11,10
    SetX = 11,-36
    SetY = 11,85
    SetFrame = 12,9
    SetX = 12,7
    SetY = 12,8
    SetFrame = 13,10
    SetX = 13,-7
    SetY = 13,45
    SetVisible = 14,false
<Particle 7>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 10,9
    SetX = 10,-4
    SetY = 10,28
    SetZ = 10,31
    SetFrame = 11,11
    SetX = 11,-35
    SetY = 11,84
    SetX = 12,-5
    SetY = 12,26
    SetX = 13,-13
    SetY = 13,44
    SetVisible = 14,false
<Particle 8>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 11,11
    SetX = 11,-65
    SetY = 11,76
    SetZ = 11,32
    SetVisible = 12,false
<Particle 9>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 13,10
    SetX = 13,-23
    SetY = 13,62
    SetZ = 13,32
    SetVisible = 14,false
<Particle 10>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 16,11
    SetX = 16,-97
    SetY = 16,156
    SetZ = 16,30
    SetFrame = 17,8
    SetX = 17,-151
    SetY = 17,155
    SetVisible = 18,false
<Particle 11>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 16,10
    SetX = 16,-102
    SetY = 16,156
    SetZ = 16,31
    SetFrame = 17,9
    SetX = 17,-146
    SetY = 17,149
    SetVisible = 18,false
<Particle 12>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 19,11
    SetX = 19,-6
    SetY = 19,39
    SetZ = 19,30
    SetFrame = 20,10
    SetX = 20,-12
    SetY = 20,77
    SetX = 21,-147
    SetY = 21,171
    SetX = 22,6
    SetY = 22,28
    SetFrame = 23,9
    SetX = 23,-16
    SetY = 23,55
    SetVisible = 24,false
<Particle 13>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 20,8
    SetX = 20,-17
    SetY = 20,87
    SetZ = 20,31
    SetFrame = 21,11
    SetX = 21,-92
    SetY = 21,108
    SetVisible = 22,false
<Particle 14>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 23,10
    SetX = 23,-15
    SetY = 23,83
    SetZ = 23,31
    SetVisible = 24,false
<Particle 15>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 23,11
    SetX = 23,-49
    SetY = 23,60
    SetZ = 23,32
    SetVisible = 24,false
<Particle 16>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 26,9
    SetX = 26,-112
    SetY = 26,144
    SetZ = 26,30
    SetX = 27,-148
    SetY = 27,151
    SetFrame = 28,11
    SetX = 28,-84
    SetY = 28,115
    SetFrame = 29,10
    SetX = 29,-106
    SetY = 29,156
    SetX = 30,-109
    SetY = 30,157
    SetX = 31,-158
    SetY = 31,173
    SetFrame = 32,11
    SetX = 32,-234
    SetY = 32,154
    SetFrame = 33,10
    SetX = 33,-223
    SetY = 33,164
    SetVisible = 34,false
<Particle 17>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 26,8
    SetX = 26,-134
    SetY = 26,154
    SetZ = 26,31
    SetX = 27,-166
    SetY = 27,159
    SetFrame = 28,9
    SetX = 28,-76
    SetY = 28,109
    SetFrame = 29,11
    SetX = 29,-105
    SetY = 29,149
    SetFrame = 30,9
    SetX = 30,-121
    SetY = 30,148
    SetX = 31,-166
    SetY = 31,158
    SetFrame = 32,10
    SetX = 32,-203
    SetY = 32,167
    SetFrame = 33,11
    SetX = 33,-252
    SetY = 33,147
    SetVisible = 34,false
<Particle 18>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 27,10
    SetX = 27,-143
    SetY = 27,165
    SetZ = 27,32
    SetX = 28,-57
    SetY = 28,126
    SetVisible = 29,false
<Particle 19>
    Graphic = Examples/poi hear mus
    Focus = Target
    SetFrame = 30,11
    SetX = 30,-122
    SetY = 30,156
    SetZ = 30,32
    SetVisible = 31,false
<SE>
    Play = 0,Sing,95
