Final form without custom sprite;;pre-evos that have custom sprites;;;
134.20; evolves from : ;133.19;;;
135.20; evolves from : ;133.19;;;
136.20; evolves from : ;133.19;;;
157.20; evolves from : ;155.19;;;
160.20; evolves from : ;158.19;;;
164.20; evolves from : ;163.19;;;
171.20; evolves from : ;170.19;;;
182.20; evolves from : ;43.19;;;
186.20; evolves from : ;60.19;;;
196.20; evolves from : ;133.19;;;
197.20; evolves from : ;133.19;;;
199.20; evolves from : ;79.19;;;
201.20; evolves from : ;201.19;;;
203.20; evolves from : ;203.19;;;
205.20; evolves from : ;204.19;;;
214.20; evolves from : ;214.19;;;
219.20; evolves from : ;218.19;;;
229.20; evolves from : ;228.19;;;
237.20; evolves from : ;236.19;;;
256.20; evolves from : ;198.19;;;
263.20; evolves from : ;81.19;;;
264.20; evolves from : ;108.19;;;
266.20; evolves from : ;114.19;;;
271.20; evolves from : ;271.19;133.19;;
272.20; evolves from : ;133.19;;;
278.20; evolves from : ;276.19;;;
281.20; evolves from : ;279.19;;;
284.20; evolves from : ;282.19;;;
288.20; evolves from : ;286.19;285.19;;
313.20; evolves from : ;311.19;;;
318.20; evolves from : ;316.19;;;
321.20; evolves from : ;319.19;;;
324.20; evolves from : ;322.19;;;
332.20; evolves from : ;388.19;;;
337.20; evolves from : ;397.19;;;
338.20; evolves from : ;399.19;;;
342.20; evolves from : ;342.19;;;
355.20; evolves from : ;355.19;;;
359.20; evolves from : ;406.19;;;
367.20; evolves from : ;365.19;;;
368.20; evolves from : ;414.19;;;
12.22; evolves from : ;12.21;11.21;10.21;
31.22; evolves from : ;30.21;29.21;;
62.22; evolves from : ;60.21;;;
76.22; evolves from : ;74.21;;;
78.22; evolves from : ;77.21;;;
83.22; evolves from : ;83.21;;;
85.22; evolves from : ;84.21;;;
97.22; evolves from : ;96.21;;;
101.22; evolves from : ;100.21;;;
139.22; evolves from : ;138.21;;;
145.22; evolves from : ;145.21;;;
186.22; evolves from : ;60.21;;;
189.22; evolves from : ;187.21;;;
199.22; evolves from : ;79.21;;;
230.22; evolves from : ;116.21;;;
232.22; evolves from : ;231.21;;;
284.22; evolves from : ;282.21;;;
318.22; evolves from : ;316.21;;;
3.24; evolves from : ;2.23;1.23;;
18.24; evolves from : ;16.23;;;
31.24; evolves from : ;30.23;29.23;;
34.24; evolves from : ;33.23;32.23;;
38.24; evolves from : ;37.23;;;
45.24; evolves from : ;44.23;;;
49.24; evolves from : ;48.23;;;
57.24; evolves from : ;57.23;56.23;;
59.24; evolves from : ;58.23;;;
62.24; evolves from : ;61.23;60.23;;
80.24; evolves from : ;80.23;;;
135.24; evolves from : ;133.23;;;
136.24; evolves from : ;133.23;;;
139.24; evolves from : ;138.23;;;
142.24; evolves from : ;142.23;;;
150.24; evolves from : ;150.23;;;
162.24; evolves from : ;161.23;;;
171.24; evolves from : ;170.23;;;
182.24; evolves from : ;44.23;;;
196.24; evolves from : ;133.23;;;
205.24; evolves from : ;205.23;;;
213.24; evolves from : ;213.23;;;
230.24; evolves from : ;116.23;;;
232.24; evolves from : ;231.23;;;
242.24; evolves from : ;113.23;;;
272.24; evolves from : ;133.23;;;
275.24; evolves from : ;137.23;;;
281.24; evolves from : ;279.23;;;
284.24; evolves from : ;282.23;;;
288.24; evolves from : ;288.23;286.23;285.23;
309.24; evolves from : ;385.23;;;
339.24; evolves from : ;133.23;;;
359.24; evolves from : ;406.23;;;
383.24; evolves from : ;294.23;;;
18.26; evolves from : ;16.25;16.172;;
28.26; evolves from : ;27.25;;;
38.26; evolves from : ;37.25;;;
53.26; evolves from : ;52.25;52.172;;
55.26; evolves from : ;54.25;;;
59.26; evolves from : ;58.25;;;
68.26; evolves from : ;66.25;;;
76.26; evolves from : ;74.25;;;
89.26; evolves from : ;88.172;;;
101.26; evolves from : ;101.25;100.25;100.172;
106.26; evolves from : ;106.25;;;
130.26; evolves from : ;129.25;;;
134.26; evolves from : ;134.25;133.25;133.172;
149.26; evolves from : ;149.25;147.172;;
150.26; evolves from : ;150.25;150.172;;
154.26; evolves from : ;152.25;;;
166.26; evolves from : ;165.172;;;
171.26; evolves from : ;170.25;170.172;;
199.26; evolves from : ;79.25;;;
201.26; evolves from : ;201.25;;;
212.26; evolves from : ;212.25;123.172;;
213.26; evolves from : ;213.172;;;
225.26; evolves from : ;225.25;;;
243.26; evolves from : ;243.25;;;
249.26; evolves from : ;249.172;;;
250.26; evolves from : ;250.172;;;
254.26; evolves from : ;190.25;;;
262.26; evolves from : ;215.25;;;
267.26; evolves from : ;125.25;239.25;239.172;
271.26; evolves from : ;133.25;133.172;;
296.26; evolves from : ;296.25;384.25;384.172;
299.26; evolves from : ;297.172;;;
309.26; evolves from : ;385.172;;;
313.26; evolves from : ;311.25;311.172;;
331.26; evolves from : ;330.25;;;
332.26; evolves from : ;388.25;;;
333.26; evolves from : ;390.25;;;
334.26; evolves from : ;392.172;;;
349.26; evolves from : ;349.25;;;
352.26; evolves from : ;400.25;;;
374.26; evolves from : ;419.25;;;
379.26; evolves from : ;379.25;;;
420.26; evolves from : ;420.25;;;
20.28; evolves from : ;20.27;19.27;;
28.28; evolves from : ;28.27;;;
31.28; evolves from : ;30.27;29.27;;
34.28; evolves from : ;33.27;32.27;;
38.28; evolves from : ;37.27;;;
53.28; evolves from : ;53.27;52.27;;
57.28; evolves from : ;57.27;56.27;;
59.28; evolves from : ;58.27;;;
65.28; evolves from : ;63.27;;;
80.28; evolves from : ;79.27;;;
101.28; evolves from : ;100.27;;;
134.28; evolves from : ;133.27;;;
136.28; evolves from : ;133.27;;;
139.28; evolves from : ;138.27;;;
154.28; evolves from : ;152.27;;;
196.28; evolves from : ;133.27;;;
197.28; evolves from : ;133.27;;;
199.28; evolves from : ;79.27;;;
210.28; evolves from : ;209.27;;;
229.28; evolves from : ;229.27;228.27;;
237.28; evolves from : ;236.27;;;
263.28; evolves from : ;81.27;;;
271.28; evolves from : ;133.27;;;
272.28; evolves from : ;133.27;;;
284.28; evolves from : ;282.27;;;
287.28; evolves from : ;285.27;;;
288.28; evolves from : ;285.27;;;
289.28; evolves from : ;289.27;;;
313.28; evolves from : ;312.27;311.27;;
326.28; evolves from : ;325.27;;;
339.28; evolves from : ;133.27;;;
22.31; evolves from : ;22.30;22.29;21.29;
24.31; evolves from : ;23.29;;;
31.31; evolves from : ;31.29;30.29;;
45.31; evolves from : ;43.29;;;
47.31; evolves from : ;47.29;46.29;;
49.31; evolves from : ;48.29;;;
59.31; evolves from : ;58.29;;;
62.31; evolves from : ;60.29;;;
76.31; evolves from : ;74.29;;;
97.31; evolves from : ;96.29;;;
103.31; evolves from : ;102.29;;;
106.31; evolves from : ;236.29;;;
107.31; evolves from : ;236.29;;;
121.31; evolves from : ;121.30;;;
127.31; evolves from : ;127.30;127.29;;
134.31; evolves from : ;133.29;;;
136.31; evolves from : ;133.29;;;
171.31; evolves from : ;170.29;;;
184.31; evolves from : ;184.30;252.29;;
186.31; evolves from : ;60.29;;;
196.31; evolves from : ;133.29;;;
197.31; evolves from : ;133.29;;;
201.31; evolves from : ;201.29;;;
212.31; evolves from : ;123.29;;;
214.31; evolves from : ;214.29;;;
230.31; evolves from : ;116.29;;;
237.31; evolves from : ;236.29;;;
264.31; evolves from : ;108.29;;;
265.31; evolves from : ;111.29;;;
271.31; evolves from : ;133.29;;;
313.31; evolves from : ;311.29;;;
324.31; evolves from : ;323.29;;;
339.31; evolves from : ;133.29;;;
369.31; evolves from : ;416.29;;;
24.34; evolves from : ;23.32;;;
34.34; evolves from : ;34.32;33.32;;
38.34; evolves from : ;38.33;;;
40.34; evolves from : ;174.32;;;
47.34; evolves from : ;46.32;;;
49.34; evolves from : ;48.32;;;
53.34; evolves from : ;53.33;53.32;52.32;
103.34; evolves from : ;102.32;;;
136.34; evolves from : ;133.32;;;
143.34; evolves from : ;260.32;;;
162.34; evolves from : ;161.32;;;
192.34; evolves from : ;191.32;;;
195.34; evolves from : ;195.33;;;
196.34; evolves from : ;196.33;133.32;;
212.34; evolves from : ;123.32;;;
219.34; evolves from : ;218.32;;;
265.34; evolves from : ;111.32;;;
271.34; evolves from : ;133.32;;;
272.34; evolves from : ;133.32;;;
289.34; evolves from : ;289.33;289.32;;
313.34; evolves from : ;311.32;;;
333.34; evolves from : ;390.32;;;
369.34; evolves from : ;416.32;;;
370.34; evolves from : ;370.32;;;
381.34; evolves from : ;381.32;;;
3.36; evolves from : ;1.35;1.173;;
12.36; evolves from : ;12.35;11.35;10.35;
22.36; evolves from : ;21.173;;;
28.36; evolves from : ;27.35;27.173;;
31.36; evolves from : ;29.173;;;
34.36; evolves from : ;32.173;;;
53.36; evolves from : ;52.173;;;
55.36; evolves from : ;54.35;;;
62.36; evolves from : ;61.35;60.35;60.173;
71.36; evolves from : ;69.35;;;
76.36; evolves from : ;74.35;74.173;;
87.36; evolves from : ;86.35;;;
105.36; evolves from : ;104.173;;;
130.36; evolves from : ;129.35;;;
134.36; evolves from : ;133.173;;;
135.36; evolves from : ;133.173;;;
136.36; evolves from : ;133.173;;;
145.36; evolves from : ;145.173;;;
186.36; evolves from : ;61.35;60.35;60.173;
196.36; evolves from : ;133.173;;;
201.36; evolves from : ;201.173;;;
205.36; evolves from : ;204.173;;;
208.36; evolves from : ;95.173;;;
217.36; evolves from : ;216.173;;;
244.36; evolves from : ;244.173;;;
264.36; evolves from : ;108.173;;;
271.36; evolves from : ;133.173;;;
272.36; evolves from : ;133.173;;;
281.36; evolves from : ;279.173;;;
289.36; evolves from : ;382.35;382.173;;
299.36; evolves from : ;297.173;;;
333.36; evolves from : ;390.35;;;
334.36; evolves from : ;392.35;;;
339.36; evolves from : ;133.173;;;
340.36; evolves from : ;340.173;;;
356.36; evolves from : ;382.35;382.173;;
357.36; evolves from : ;357.35;;;
369.36; evolves from : ;416.173;;;
383.36; evolves from : ;294.35;;;
20.38; evolves from : ;19.37;;;
28.38; evolves from : ;27.37;;;
31.38; evolves from : ;31.37;;;
34.38; evolves from : ;32.37;;;
40.38; evolves from : ;39.37;;;
53.38; evolves from : ;52.37;;;
62.38; evolves from : ;61.37;;;
87.38; evolves from : ;86.37;;;
99.38; evolves from : ;98.37;;;
101.38; evolves from : ;100.37;;;
115.38; evolves from : ;115.37;;;
122.38; evolves from : ;258.37;;;
132.38; evolves from : ;132.37;;;
136.38; evolves from : ;133.37;;;
149.38; evolves from : ;147.37;;;
166.38; evolves from : ;165.37;;;
168.38; evolves from : ;168.37;;;
169.38; evolves from : ;41.37;;;
182.38; evolves from : ;43.37;;;
185.38; evolves from : ;257.37;;;
192.38; evolves from : ;191.37;;;
234.38; evolves from : ;234.37;;;
242.38; evolves from : ;242.37;;;
254.38; evolves from : ;190.37;;;
263.38; evolves from : ;81.37;;;
278.38; evolves from : ;276.37;;;
288.38; evolves from : ;285.37;;;
300.38; evolves from : ;300.37;;;
324.38; evolves from : ;322.37;;;
329.38; evolves from : ;328.37;;;
334.38; evolves from : ;392.37;;;
354.38; evolves from : ;403.37;;;
3.40; evolves from : ;2.39;1.39;1.174;
18.40; evolves from : ;16.39;16.174;;
20.40; evolves from : ;19.39;19.174;;
24.40; evolves from : ;24.39;23.39;;
26.40; evolves from : ;25.39;172.39;172.174;
31.40; evolves from : ;29.39;29.174;;
38.40; evolves from : ;37.39;;;
40.40; evolves from : ;40.39;39.39;174.174;
45.40; evolves from : ;43.39;43.174;;
62.40; evolves from : ;60.39;;;
68.40; evolves from : ;68.39;67.39;66.39;
71.40; evolves from : ;69.39;;;
80.40; evolves from : ;79.39;;;
101.40; evolves from : ;100.39;;;
119.40; evolves from : ;118.39;;;
122.40; evolves from : ;122.39;;;
124.40; evolves from : ;124.39;;;
127.40; evolves from : ;127.39;;;
141.40; evolves from : ;140.174;;;
157.40; evolves from : ;155.174;;;
169.40; evolves from : ;41.39;41.174;;
171.40; evolves from : ;170.39;170.174;;
184.40; evolves from : ;252.174;;;
186.40; evolves from : ;60.39;;;
192.40; evolves from : ;191.174;;;
195.40; evolves from : ;195.39;;;
199.40; evolves from : ;79.39;;;
206.40; evolves from : ;206.174;;;
214.40; evolves from : ;214.39;;;
219.40; evolves from : ;218.174;;;
242.40; evolves from : ;259.39;;;
248.40; evolves from : ;246.39;;;
250.40; evolves from : ;250.39;;;
262.40; evolves from : ;262.39;;;
263.40; evolves from : ;81.39;;;
264.40; evolves from : ;108.39;;;
267.40; evolves from : ;239.174;;;
268.40; evolves from : ;240.174;;;
273.40; evolves from : ;207.39;;;
274.40; evolves from : ;274.39;;;
275.40; evolves from : ;137.174;;;
281.40; evolves from : ;279.174;;;
313.40; evolves from : ;311.39;311.174;;
332.40; evolves from : ;388.174;;;
337.40; evolves from : ;397.39;;;
352.40; evolves from : ;400.174;;;
354.40; evolves from : ;403.174;;;
358.40; evolves from : ;358.39;;;
360.40; evolves from : ;360.39;;;
362.40; evolves from : ;411.174;;;
3.45; evolves from : ;3.43;2.43;1.43;
6.45; evolves from : ;6.44;6.43;5.43;4.43
9.45; evolves from : ;7.43;;;
20.45; evolves from : ;19.43;;;
26.45; evolves from : ;25.43;172.43;;
38.45; evolves from : ;37.43;;;
40.45; evolves from : ;39.43;174.43;;
45.45; evolves from : ;45.43;44.43;43.43;
49.45; evolves from : ;49.44;49.43;48.43;
53.45; evolves from : ;53.43;52.43;;
55.45; evolves from : ;54.43;;;
57.45; evolves from : ;56.43;;;
59.45; evolves from : ;58.43;;;
71.45; evolves from : ;70.43;69.43;;
80.45; evolves from : ;79.43;;;
83.45; evolves from : ;83.44;83.43;;
87.45; evolves from : ;86.43;;;
89.45; evolves from : ;89.44;89.43;88.43;
94.45; evolves from : ;93.43;92.43;;
97.45; evolves from : ;96.43;;;
101.45; evolves from : ;100.43;;;
103.45; evolves from : ;102.43;;;
107.45; evolves from : ;107.43;;;
121.45; evolves from : ;120.43;;;
128.45; evolves from : ;128.43;;;
132.45; evolves from : ;132.43;;;
154.45; evolves from : ;154.43;153.43;152.43;
164.45; evolves from : ;163.43;;;
169.45; evolves from : ;169.43;42.43;41.43;
171.45; evolves from : ;170.43;;;
178.45; evolves from : ;177.43;;;
186.45; evolves from : ;61.43;60.43;;
199.45; evolves from : ;79.43;;;
206.45; evolves from : ;206.43;;;
217.45; evolves from : ;216.43;;;
229.45; evolves from : ;229.44;228.43;;
255.45; evolves from : ;200.43;;;
256.45; evolves from : ;198.43;;;
263.45; evolves from : ;81.43;;;
274.45; evolves from : ;274.43;;;
281.45; evolves from : ;279.43;;;
296.45; evolves from : ;296.43;384.43;;
299.45; evolves from : ;297.43;;;
338.45; evolves from : ;399.43;;;
353.45; evolves from : ;402.43;;;
20.47; evolves from : ;19.46;;;
26.47; evolves from : ;25.46;;;
28.47; evolves from : ;27.46;;;
40.47; evolves from : ;39.46;174.46;;
55.47; evolves from : ;55.46;;;
80.47; evolves from : ;79.46;;;
101.47; evolves from : ;100.46;;;
134.47; evolves from : ;133.46;;;
135.47; evolves from : ;133.46;;;
136.47; evolves from : ;133.46;;;
196.47; evolves from : ;133.46;;;
197.47; evolves from : ;133.46;;;
222.47; evolves from : ;222.46;;;
271.47; evolves from : ;133.46;;;
272.47; evolves from : ;133.46;;;
302.47; evolves from : ;301.46;;;
309.47; evolves from : ;386.46;385.46;;
321.47; evolves from : ;320.46;319.46;;
339.47; evolves from : ;133.46;;;
363.47; evolves from : ;412.46;;;
3.49; evolves from : ;2.48;1.48;;
18.49; evolves from : ;17.48;16.48;;
24.49; evolves from : ;23.48;;;
26.49; evolves from : ;25.48;;;
28.49; evolves from : ;27.48;;;
31.49; evolves from : ;31.48;30.48;29.48;
34.49; evolves from : ;34.48;33.48;32.48;
45.49; evolves from : ;44.48;43.48;;
49.49; evolves from : ;49.48;;;
53.49; evolves from : ;53.48;;;
55.49; evolves from : ;54.48;;;
57.49; evolves from : ;56.48;;;
62.49; evolves from : ;61.48;60.48;;
71.49; evolves from : ;70.48;69.48;;
80.49; evolves from : ;79.48;;;
83.49; evolves from : ;83.48;;;
89.49; evolves from : ;89.48;88.48;;
97.49; evolves from : ;96.48;;;
101.49; evolves from : ;100.48;;;
103.49; evolves from : ;102.48;;;
121.49; evolves from : ;121.48;;;
122.49; evolves from : ;122.48;258.48;;
127.49; evolves from : ;127.48;;;
130.49; evolves from : ;129.48;;;
164.49; evolves from : ;164.48;163.48;;
169.49; evolves from : ;42.48;41.48;;
171.49; evolves from : ;170.48;;;
182.49; evolves from : ;44.48;43.48;;
186.49; evolves from : ;61.48;60.48;;
189.49; evolves from : ;187.48;;;
192.49; evolves from : ;191.48;;;
195.49; evolves from : ;194.48;;;
199.49; evolves from : ;79.48;;;
212.49; evolves from : ;123.48;;;
217.49; evolves from : ;217.48;216.48;;
230.49; evolves from : ;116.48;;;
254.49; evolves from : ;190.48;;;
264.49; evolves from : ;108.48;;;
265.49; evolves from : ;111.48;;;
288.49; evolves from : ;285.48;;;
313.49; evolves from : ;311.48;;;
377.49; evolves from : ;375.48;;;
12.51; evolves from : ;10.50;;;
20.51; evolves from : ;19.50;;;
22.51; evolves from : ;22.50;;;
40.51; evolves from : ;40.50;39.50;;
71.51; evolves from : ;70.50;;;
73.51; evolves from : ;72.50;;;
87.51; evolves from : ;87.50;;;
106.51; evolves from : ;236.50;;;
107.51; evolves from : ;236.50;;;
110.51; evolves from : ;109.50;;;
124.51; evolves from : ;124.50;;;
169.51; evolves from : ;169.50;41.50;;
171.51; evolves from : ;170.50;;;
184.51; evolves from : ;184.50;183.50;252.50;
192.51; evolves from : ;192.50;191.50;;
208.51; evolves from : ;95.50;;;
213.51; evolves from : ;213.50;;;
217.51; evolves from : ;216.50;;;
248.51; evolves from : ;247.50;;;
263.51; evolves from : ;82.50;81.50;;
264.51; evolves from : ;108.50;;;
266.51; evolves from : ;114.50;;;
278.51; evolves from : ;277.50;;;
310.51; evolves from : ;310.50;;;
313.51; evolves from : ;311.50;;;
314.51; evolves from : ;314.50;;;
326.51; evolves from : ;326.50;;;
355.51; evolves from : ;404.50;;;
369.51; evolves from : ;416.50;;;
