# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[Move,SING]
Name = SING
<Particle 3>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 1,211
    SetY = 1,212
    SetX = 2,217
    SetY = 2,209
    SetX = 3,237
    SetY = 3,201
    SetX = 4,245
    SetY = 4,206
    SetX = 5,251
    SetY = 5,207
    SetX = 6,293
    SetY = 6,194
    SetX = 7,284
    SetY = 7,149
    SetX = 8,300
    SetY = 8,150
    SetX = 9,244
    SetY = 9,192
    SetX = 10,338
    SetY = 10,123
    SetX = 11,259
    SetY = 11,205
    SetX = 12,383
    SetY = 12,96
    SetX = 13,264
    SetY = 13,200
    SetX = 14,301
    SetY = 14,185
    SetX = 15,236
    SetY = 15,232
    SetX = 16,241
    SetY = 16,220
    SetX = 17,292
    SetY = 17,211
    SetX = 18,324
    SetY = 18,200
    SetX = 19,318
    SetY = 19,162
    SetX = 20,244
    SetY = 20,201
    SetX = 21,309
    SetY = 21,193
    SetX = 22,244
    SetY = 22,218
    SetX = 23,272
    SetY = 23,228
    SetX = 24,381
    SetY = 24,113
    SetX = 25,253
    SetY = 25,222
    SetX = 26,286
    SetY = 26,209
    SetX = 27,344
    SetY = 27,191
    SetX = 28,257
    SetY = 28,222
    SetX = 29,286
    SetY = 29,193
    SetX = 30,293
    SetY = 30,190
    SetX = 31,230
    SetY = 31,209
    SetX = 32,287
    SetY = 32,201
    SetX = 33,322
    SetY = 33,208
    SetX = 34,277
    SetY = 34,206
    SetX = 35,297
    SetY = 35,176
    SetX = 36,247
    SetY = 36,226
    SetX = 37,296
    SetY = 37,195
    SetX = 38,360
    SetY = 38,148
    SetX = 39,374
    SetY = 39,130
    SetX = 40,399
    SetY = 40,113
    SetX = 41,425
    SetY = 41,101
    SetX = 42,376
    SetY = 42,77
    SetX = 43,411
    SetY = 43,86
    SetX = 44,360
    SetY = 44,87
    SetX = 45,393
    SetY = 45,48
    SetX = 46,397
    SetY = 46,55
    SetX = 47,407
    SetY = 47,57
    SetX = 48,428
    SetY = 48,48
    SetY = 49,45
    SetX = 50,429
    SetY = 50,7
<Particle 4>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 2,236
    SetY = 2,216
    SetX = 4,257
    SetY = 4,202
    SetX = 5,256
    SetY = 5,174
    SetX = 6,294
    SetY = 6,173
    SetX = 7,306
    SetY = 7,166
    SetX = 8,234
    SetY = 8,243
    SetX = 9,342
    SetY = 9,145
    SetX = 10,338
    SetY = 10,132
    SetX = 11,230
    SetY = 11,198
    SetX = 12,260
    SetY = 12,195
    SetX = 13,401
    SetY = 13,107
    SetX = 14,427
    SetY = 14,108
    SetX = 15,329
    SetY = 15,174
    SetX = 16,274
    SetY = 16,212
    SetX = 17,293
    SetY = 17,181
    SetX = 18,304
    SetY = 18,178
    SetX = 19,227
    SetY = 19,247
    SetX = 20,354
    SetY = 20,147
    SetX = 21,276
    SetY = 21,191
    SetX = 22,321
    SetY = 22,192
    SetX = 23,266
    SetY = 23,209
    SetX = 24,352
    SetY = 24,168
    SetX = 25,372
    SetY = 25,118
    SetX = 26,420
    SetY = 26,111
    SetX = 27,316
    SetY = 27,181
    SetX = 28,347
    SetY = 28,169
    SetX = 29,376
    SetY = 29,138
    SetX = 30,403
    SetY = 30,127
    SetX = 31,340
    SetY = 31,194
    SetX = 32,347
    SetY = 32,177
    SetX = 33,222
    SetY = 33,235
    SetX = 34,397
    SetY = 34,183
    SetX = 35,341
    SetY = 35,180
    SetX = 36,334
    SetY = 36,184
    SetX = 37,383
    SetY = 37,137
    SetX = 38,355
    SetY = 38,145
    SetX = 39,410
    SetY = 39,107
    SetX = 40,403
    SetY = 40,118
    SetX = 41,417
    SetY = 41,63
    SetX = 42,407
    SetY = 42,55
    SetX = 43,394
    SetY = 43,77
    SetX = 44,364
    SetY = 44,50
    SetX = 45,396
    SetY = 45,51
    SetX = 46,415
    SetY = 46,43
    SetX = 47,437
    SetY = 47,49
    SetX = 48,436
    SetY = 48,44
    SetX = 49,437
    SetY = 49,5
    SetX = 50,424
    SetY = 50,20
<Particle 5>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 8,222
    SetY = 8,198
    SetX = 9,351
    SetY = 9,130
    SetX = 10,257
    SetY = 10,192
    SetX = 11,355
    SetY = 11,107
    SetX = 12,394
    SetY = 12,113
    SetX = 13,419
    SetY = 13,90
    SetX = 14,430
    SetY = 14,96
    SetX = 15,331
    SetY = 15,164
    SetX = 16,373
    SetY = 16,152
    SetX = 17,353
    SetY = 17,142
    SetX = 18,445
    SetY = 18,95
    SetX = 19,231
    SetY = 19,236
    SetX = 20,363
    SetY = 20,162
    SetX = 21,400
    SetY = 21,118
    SetX = 22,324
    SetY = 22,186
    SetX = 23,378
    SetY = 23,141
    SetX = 24,357
    SetY = 24,173
    SetX = 25,383
    SetY = 25,135
    SetX = 26,426
    SetY = 26,116
    SetX = 27,419
    SetY = 27,94
    SetX = 28,344
    SetY = 28,163
    SetX = 29,378
    SetY = 29,148
    SetX = 30,425
    SetY = 30,113
    SetX = 31,312
    SetY = 31,182
    SetX = 32,370
    SetY = 32,165
    SetX = 33,253
    SetY = 33,226
    SetX = 34,390
    SetY = 34,148
    SetX = 35,439
    SetY = 35,113
    SetX = 36,348
    SetY = 36,154
    SetX = 37,405
    SetY = 37,121
    SetX = 38,432
    SetY = 38,113
<Particle 6>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 13,282
    SetY = 13,189
    SetX = 14,226
    SetY = 14,238
    SetX = 15,448
    SetY = 15,78
    SetX = 16,356
    SetY = 16,148
    SetX = 17,384
    SetY = 17,150
    SetX = 18,442
    SetY = 18,83
    SetX = 19,427
    SetY = 19,72
    SetX = 20,345
    SetY = 20,152
    SetX = 21,368
    SetY = 21,119
    SetX = 22,416
    SetY = 22,113
    SetX = 23,356
    SetY = 23,155
    SetX = 24,221
    SetY = 24,234
    SetX = 25,352
    SetY = 25,134
    SetX = 26,403
    SetY = 26,86
    SetX = 27,416
    SetY = 27,109
    SetX = 28,423
    SetY = 28,116
    SetX = 29,392
    SetY = 29,153
    SetX = 30,231
    SetY = 30,240
    SetX = 31,394
    SetY = 31,133
    SetX = 32,345
    SetY = 32,145
    SetX = 33,387
    SetY = 33,146
    SetX = 34,421
    SetY = 34,114
    SetX = 35,408
    SetY = 35,98
    SetX = 36,423
    SetY = 36,119
    SetX = 37,379
    SetY = 37,104
    SetX = 38,422
    SetY = 38,90
<Particle 7>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 15,429
    SetY = 15,91
    SetX = 16,352
    SetY = 16,157
    SetX = 18,426
    SetY = 18,99
    SetX = 19,425
    SetY = 19,95
    SetX = 20,412
    SetY = 20,93
    SetX = 21,391
    SetY = 21,122
    SetX = 22,424
    SetY = 22,105
    SetX = 24,255
    SetY = 24,224
    SetX = 27,232
    SetY = 27,226
    SetX = 28,421
    SetY = 28,88
    SetX = 31,402
    SetY = 31,130
    SetX = 32,423
    SetY = 32,124
    SetX = 33,390
    SetY = 33,139
    SetX = 34,447
    SetY = 34,96
    SetX = 35,433
    SetY = 35,112
<Particle 8>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 15,437
    SetY = 15,85
    SetX = 16,416
    SetY = 16,84
    SetX = 25,413
    SetY = 25,98
    SetX = 27,209
    SetY = 27,217
    SetX = 31,400
    SetY = 31,125
<Particle 9>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 16,417
    SetY = 16,89
<Particle 10>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 16,417
    SetY = 16,93
<SE>
    Play = 0,Sing,80,100
#-------------------------------
[OppMove,SING]
Name = SING
<User>
    SetX = 0,128
    SetY = 0,224
<Target>
    SetX = 0,384
    SetY = 0,96
<Particle 2>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 0,364
    SetY = 0,92
    SetX = 1,369
    SetY = 1,117
    SetX = 2,358
    SetY = 2,154
    SetX = 3,332
    SetY = 3,182
    SetX = 4,382
    SetY = 4,106
    SetX = 5,365
    SetY = 5,96
    SetX = 6,212
    SetY = 6,246
    SetX = 7,356
    SetY = 7,172
    SetX = 8,320
    SetY = 8,192
    SetX = 9,298
    SetY = 9,201
    SetX = 10,265
    SetY = 10,239
    SetX = 11,231
    SetY = 11,255
    SetX = 12,282
    SetY = 12,196
    SetX = 13,255
    SetY = 13,253
    SetX = 14,348
    SetY = 14,175
    SetX = 15,303
    SetY = 15,213
    SetX = 16,384
    SetY = 16,110
    SetX = 17,355
    SetY = 17,167
    SetX = 18,316
    SetY = 18,200
    SetX = 19,289
    SetY = 19,223
    SetX = 20,244
    SetY = 20,239
    SetX = 21,313
    SetY = 21,199
    SetX = 22,281
    SetY = 22,248
    SetX = 23,238
    SetY = 23,242
    SetX = 24,341
    SetY = 24,194
    SetX = 25,296
    SetY = 25,225
    SetX = 26,369
    SetY = 26,116
    SetX = 27,326
    SetY = 27,171
    SetX = 28,186
    SetY = 28,240
    SetX = 29,156
    SetY = 29,241
    SetX = 30,150
    SetX = 31,180
    SetY = 31,214
    SetX = 32,183
    SetX = 33,193
    SetY = 33,171
    SetX = 34,161
    SetY = 34,235
    SetX = 35,190
    SetY = 35,195
    SetX = 36,164
    SetY = 36,176
    SetX = 37,167
    SetY = 37,175
    SetX = 38,159
    SetY = 38,143
    SetX = 39,202
    SetY = 39,108
    SetOpacity = 39,243
    SetX = 40,183
    SetY = 40,119
    SetOpacity = 40,255
<Particle 3>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 0,365
    SetY = 0,125
    SetX = 1,350
    SetY = 1,146
    SetX = 2,356
    SetY = 2,143
    SetX = 3,304
    SetY = 3,177
    SetX = 4,294
    SetY = 4,203
    SetX = 5,383
    SetY = 5,125
    SetX = 6,228
    SetY = 6,232
    SetX = 7,375
    SetY = 7,166
    SetX = 8,344
    SetY = 8,188
    SetX = 9,282
    SetY = 9,205
    SetX = 10,287
    SetY = 10,225
    SetX = 11,242
    SetY = 11,244
    SetX = 12,314
    SetY = 12,207
    SetX = 13,240
    SetY = 13,244
    SetX = 14,342
    SetY = 14,181
    SetX = 15,332
    SetY = 15,221
    SetX = 16,377
    SetY = 16,126
    SetX = 17,360
    SetY = 17,154
    SetX = 18,309
    SetY = 18,211
    SetX = 19,284
    SetY = 19,236
    SetX = 20,252
    SetY = 20,256
    SetX = 21,345
    SetY = 21,203
    SetX = 22,300
    SetY = 22,240
    SetX = 23,231
    SetY = 23,245
    SetX = 24,350
    SetY = 24,216
    SetX = 25,306
    SetY = 25,242
    SetX = 26,361
    SetY = 26,143
    SetX = 27,333
    SetY = 27,171
    SetX = 28,183
    SetY = 28,258
    SetX = 29,163
    SetY = 29,239
    SetX = 30,176
    SetY = 30,223
    SetX = 31,173
    SetY = 31,204
    SetX = 32,159
    SetY = 32,186
    SetX = 33,182
    SetY = 33,191
    SetX = 34,153
    SetY = 34,221
    SetX = 35,181
    SetY = 35,163
    SetX = 36,193
    SetY = 36,197
    SetX = 37,191
    SetY = 37,163
    SetX = 38,172
    SetY = 38,161
    SetX = 39,204
    SetY = 39,163
    SetX = 40,183
    SetY = 40,100
<Particle 4>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 4,300
    SetY = 4,200
    SetX = 5,262
    SetY = 5,233
    SetX = 6,369
    SetY = 6,129
    SetX = 7,334
    SetY = 7,162
    SetX = 8,316
    SetY = 8,166
    SetX = 9,305
    SetY = 9,207
    SetX = 10,263
    SetY = 10,215
    SetX = 11,214
    SetY = 11,227
    SetX = 12,328
    SetY = 12,211
    SetX = 13,243
    SetY = 13,222
    SetX = 14,319
    SetY = 14,174
    SetX = 15,338
    SetY = 15,219
    SetX = 16,287
    SetY = 16,257
    SetX = 17,252
    SetY = 17,240
    SetX = 18,341
    SetY = 18,216
    SetX = 19,388
    SetY = 19,118
    SetX = 20,365
    SetY = 20,153
    SetX = 21,222
    SetY = 21,259
    SetX = 22,268
    SetY = 22,239
    SetX = 23,234
    SetY = 23,242
    SetX = 24,316
    SetY = 24,212
    SetX = 25,305
    SetY = 25,234
    SetX = 26,239
    SetY = 26,246
    SetX = 27,346
    SetY = 27,201
    SetX = 28,212
    SetY = 28,248
    SetX = 29,181
    SetY = 29,253
    SetX = 30,167
    SetY = 30,247
    SetX = 31,196
    SetY = 31,222
    SetX = 32,180
    SetY = 32,271
    SetX = 33,189
    SetY = 33,192
    SetX = 34,169
    SetY = 34,208
    SetX = 35,198
    SetY = 35,169
    SetX = 36,197
    SetY = 36,163
    SetX = 37,155
    SetY = 37,173
    SetX = 38,189
    SetY = 38,155
    SetX = 39,178
    SetY = 39,142
    SetX = 40,169
    SetY = 40,139
<Particle 5>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 4,305
    SetY = 4,227
    SetX = 5,275
    SetY = 5,241
    SetX = 6,370
    SetY = 6,121
    SetX = 9,381
    SetY = 9,113
    SetX = 10,378
    SetY = 10,125
    SetX = 11,348
    SetY = 11,181
    SetX = 12,391
    SetY = 12,104
    SetX = 13,377
    SetY = 13,141
    SetX = 16,287
    SetY = 16,252
    SetX = 17,233
    SetY = 17,251
    SetX = 19,378
    SetY = 19,135
    SetX = 20,372
    SetY = 20,173
    SetX = 21,237
    SetY = 21,267
    SetX = 22,390
    SetY = 22,124
    SetX = 23,368
    SetY = 23,151
    SetX = 26,272
    SetY = 26,240
    SetX = 27,236
    SetY = 27,247
    SetX = 28,300
    SetY = 28,211
    SetX = 29,278
    SetY = 29,252
    SetX = 30,275
    SetY = 30,253
    SetX = 31,226
    SetY = 31,269
    SetX = 32,150
    SetY = 32,250
    SetX = 33,161
    SetY = 33,260
<Particle 6>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 10,380
    SetY = 10,124
    SetX = 11,349
    SetY = 11,180
    SetX = 12,379
    SetY = 12,122
    SetX = 13,371
    SetY = 13,140
    SetX = 16,282
    SetY = 16,252
    SetX = 17,238
    SetY = 17,245
    SetX = 20,367
    SetY = 20,183
    SetX = 21,292
    SetY = 21,204
    SetX = 23,369
    SetY = 23,179
    SetX = 26,250
    SetY = 26,250
    SetX = 27,218
    SetY = 27,255
    SetX = 28,308
    SetY = 28,205
    SetX = 29,279
    SetY = 29,245
    SetX = 30,263
    SetY = 30,244
    SetX = 31,218
    SetY = 31,254
    SetX = 32,181
    SetY = 32,263
    SetX = 33,132
    SetY = 33,243
<Particle 7>
    Graphic = poi.hear.mus
    Focus = Target
    SetX = 11,319
    SetY = 11,172
    SetX = 13,361
    SetY = 13,158
    SetX = 23,335
    SetY = 23,156
    SetX = 27,241
    SetY = 27,261
    SetX = 28,327
    SetY = 28,222
    SetX = 30,262
    SetY = 30,252
<SE>
    Play = 0,Sing,95,100
